Anode No,Anode Category,EL. Zone (m),"Depletion 
May 2001","Depletion 
Feb 2014","Depletion 
April 2016","Depletion 
July 2024",Depletion Category,Unnamed: 8,Ia,Unnamed: 10,Unnamed: 11,Anode Stage (Ori),Anode Quantity (Ori),Ia' (A'),∑Ia' (A'),Unnamed: 16,Anode Stage (retrofit),Anode Quantity (retrofit),Ia_r(A_r),∑Ia_r(A_r)
BAN057,Original,-25.0,0.1,,26-50%,,2.0,,1.5305469997246555,,,,,,,,,,,
BAN058,Original,-23.2,0.1,,26-50%,,2.0,,1.5305469997246555,,,,,,,,,,,
BAN059,Original,-22.8,0.1,,26-50%,,2.0,,1.5305469997246555,,,,,,,,,,,
BAN060,Original,-20.0,0.1,,26-50%,,2.0,,1.5305469997246555,,,,,,,,,,,
BAN061,Original,-26.0,0.1,,26-50%,,2.0,,1.5305469997246555,,,,,,,,,,,
BAN062,Original,-26.0,0.1,,26-50%,,2.0,,1.5305469997246555,,,,,,,,,,,
BAN063,Original,-26.0,0.1,,26-50%,,2.0,,1.5305469997246555,,,,,,,,,,,
BAN064,Original,-26.0,0.1,,26-50%,,2.0,,1.5305469997246555,,,,,,,,,,,
BAN065,Original,-26.0,0.1,,51-75%,,3.0,,2.2958371011935386,,,,,,,,,,,
BAN066,Original,-26.0,0.1,,51-75%,,3.0,,2.2958371011935386,,,,,,,,,,,
BAN067,Original,-26.0,0.1,,51-75%,,3.0,,2.2958371011935386,,,,,,,,,,,
BAN068,Original,-26.0,0.1,,51-75%,,3.0,,2.2958371011935386,,,,,,,,,,,
BAN069,Original,-26.0,0.1,,51-75%,,3.0,,2.2958371011935386,,,,,,,,,,,
BAN070,Original,-26.0,0.1,,26-50%,,2.0,,1.5305469997246555,,,,,,,,,,,
BAN071,Original,-26.0,0.1,,26-50%,,2.0,,1.5305469997246555,,,,,,,,,,,
BAN072,Original,-26.0,0.1,,26-50%,,2.0,,1.5305469997246555,,,,,,,,,,,
BAN073,Original,-26.0,0.1,,26-50%,,2.0,,1.5305469997246555,,,,,,,,,,,
BAN074,Original,-26.0,0.1,,26-50%,,2.0,,1.5305469997246555,,,,,,,,,,,
BAN075,Original,-26.0,0.1,,26-50%,,2.0,,1.5305469997246555,,,,,,,,,,,
BAN076,Original,-26.0,0.1,,26-50%,,2.0,,1.5305469997246555,,,,,,,,,,,
BAN077,Original,-26.0,0.1,,26-50%,,2.0,,1.5305469997246555,,,,,,,,,,,
BAN078,Original,-26.0,0.1,,26-50%,,2.0,,1.5305469997246555,,,,,,,,,,,
BAN079,Original,-26.0,0.1,,26-50%,,2.0,,1.5305469997246555,,,,,,,,,,,
BAN080,Original,-26.0,0.1,,26-50%,,2.0,,1.5305469997246555,,,,,,,,,,,
BAN081,Original,-46.5,0.1,,26-50%,,2.0,,1.5305469997246555,,,,,,,,,,,
BAN082,Original,-33.0,0.1,,26-50%,,2.0,,1.5305469997246555,,,,,,,,,,,
BAN083,Original,-33.0,0.1,,26-50%,,2.0,,1.5305469997246555,,,,,,,,,,,
BAN084,Original,-46.5,0.1,,26-50%,,2.0,,1.5305469997246555,,,,,,,,,,,
BAN085,Original,-46.5,0.1,,26-50%,,2.0,,1.5305469997246555,,,,,,,,,,,
BAN086,Original,-33.0,0.1,,26-50%,,2.0,,1.5305469997246555,,,,,,,,,,,
BAN087,Original,-37.0,0.1,,26-50%,,2.0,,1.5305469997246555,,,,,,,,,,,
BAN088,Original,-39.5,0.1,,26-50%,,2.0,,1.5305469997246555,,,,,,,,,,,
BAN089,Original,-46.5,0.1,,26-50%,,2.0,,1.5305469997246555,,,,,,,,,,,
BAN090,Original,-33.0,0.1,,26-50%,,2.0,,1.5305469997246555,,,,,,,,,,,
BAN091,Original,-33.0,0.1,,26-50%,,2.0,,1.5305469997246555,,,,,,,,,,,
BAN092,Original,-49.8,0.1,,26-50%,,2.0,,1.5305469997246555,,,,,,,,,,,
BAN093,Original,-46.5,0.1,,51-75%,,3.0,,2.2958371011935386,,,,,,,,,,,
BAN094,Original,-33.0,0.1,,51-75%,,3.0,,2.2958371011935386,,,,,,,,,,,
BAN095,Original,-33.0,0.1,,51-75%,,3.0,,2.2958371011935386,,,,,,,,,,,
BAN096,Original,-46.5,0.1,,51-75%,,3.0,,2.2958371011935386,,,,,,,,,,,
BAN097,Original,-46.5,0.1,,51-75%,,3.0,,2.2958371011935386,,,,,,,,,,,
BAN098,Original,-33.0,0.1,,51-75%,,3.0,,2.2958371011935386,,,,,,,,,,,
BAN099,Original,-33.0,0.1,,51-75%,,3.0,,2.2958371011935386,,,,,,,,,,,
BAN100,Original,-46.5,0.1,,51-75%,,3.0,,2.2958371011935386,,,,,,,,,,,
BAN101,Original,-46.5,0.1,,26-50%,,2.0,,1.5305469997246555,,,,,,,,,,,
BAN102,Original,-33.0,0.1,,26-50%,,2.0,,1.5305469997246555,,,,,,,,,,,
BAN103,Original,-33.0,0.1,,26-50%,,2.0,,1.5305469997246555,,,,,,,,,,,
BAN104,Original,-46.5,0.1,,26-50%,,2.0,,1.5305469997246555,,,,,,,,,,,
BAN105,Original,-30.5,0.1,,51-75%,,3.0,,2.2958371011935386,,,,,,,,,,,
BAN106,Original,-39.5,0.1,,51-75%,,3.0,,2.2958371011935386,,,,,,,,,,,
BAN107,Original,-48.5,0.1,,51-75%,,3.0,,2.2958371011935386,,,,,,,,,,,
BAN108,Original,-46.25,0.1,,51-75%,,3.0,,2.2958371011935386,,,,,,,,,,,
BAN109,Original,-32.75,0.1,,51-75%,,3.0,,2.2958371011935386,,,,,,,,,,,
BAN110,Original,-32.7,0.1,,51-75%,,3.0,,2.2958371011935386,,,,,,,,,,,
BAN111,Original,-46.25,0.1,,51-75%,,3.0,,2.2958371011935386,,,,,,,,,,,
BAN112,Original,-30.5,0.1,,51-75%,,3.0,,2.2958371011935386,,,,,,,,,,,
BAN113,Original,-39.5,0.1,,51-75%,,3.0,,2.2958371011935386,,,,,,,,,,,
BAN114,Original,-48.5,0.1,,51-75%,,3.0,,2.2958371011935386,,,,,,,,,,,
BAN115,Original,-30.5,0.1,,26-50%,,2.0,,1.5305469997246555,,,,,,,,,,,
BAN116,Original,-39.5,0.1,,26-50%,,2.0,,1.5305469997246555,,,,,,,,,,,
BAN117,Original,-48.5,0.1,,26-50%,,2.0,,1.5305469997246555,,,,,,,,,,,
BAN118,Original,-46.25,0.1,,26-50%,,2.0,,1.5305469997246555,,,,,,,,,,,
BAN119,Original,-32.75,0.1,,26-50%,,2.0,,1.5305469997246555,,,,,,,,,,,
BAN120,Original,-32.75,0.1,,26-50%,,2.0,,1.5305469997246555,,,,,,,,,,,
BAN121,Original,-46.25,0.1,,26-50%,,2.0,,1.5305469997246555,,,,,,,,,,,
BAN122,Original,-30.5,0.1,,26-50%,,2.0,,1.5305469997246555,,,,,,,,,,,
BAN123,Original,-39.5,0.1,,26-50%,,2.0,,1.5305469997246555,,,,,,,,,,,
BAN124,Original,-48.5,0.1,,26-50%,,2.0,,1.5305469997246555,,,,,,,,,,,
BAN125,Original,-33.0,0.1,,51-75%,,3.0,,2.2958371011935386,,,,,,,,,,,
BAN126,Original,-36.5,0.1,,51-75%,,3.0,,2.2958371011935386,,,,,,,,,,,
BAN127,Original,-29.5,0.1,,26-50%,,2.0,,1.5305469997246555,,,,,,,,,,,
BAN128,Original,-29.5,0.1,,26-50%,,2.0,,1.5305469997246555,,,,,,,,,,,
BAN129,Original,-36.5,0.1,,26-50%,,2.0,,1.5305469997246555,,,,,,,,,,,
BAN130,Original,-33.0,0.1,,26-50%,,2.0,,1.5305469997246555,,,,,,,,,,,
BAN131,Original,-32.75,0.1,,51-75%,,3.0,,2.2958371011935386,,,,,,,,,,,
BAN132,Original,-46.25,0.1,,51-75%,,3.0,,2.2958371011935386,,,,,,,,,,,
BAN133,Original,-46.25,0.1,,26-50%,,2.0,,1.5305469997246555,,,,,,,,,,,
BAN134,Original,-32.75,0.1,,26-50%,,2.0,,1.5305469997246555,,,,,,,,,,,
BAN135,Original,-32.75,0.1,,26-50%,,2.0,,1.5305469997246555,,,,,,,,,,,
BAN136,Original,-46.25,0.1,,26-50%,,2.0,,1.5305469997246555,,,,,,,,,,,
BAN137,Original,-32.7,0.1,,26-50%,,2.0,,1.5305469997246555,,,,,,,,,,,
BAN138,Original,-46.5,0.1,,26-50%,,2.0,,1.5305469997246555,,,,,,,,,,,
